Running seek with root {-3,5,8,8,} and ceiling 2147483647
Time: Sat Apr 18 20:07:58 2015

In seek
Running fuchsian
48962626992th iteration: 1678284341 5175456965 5203629812 958224872
49177375356th iteration: 4912991589 147691485 4348366788 2885761848
49392123720th iteration: 3556578045 3598737693 1260394476 582300816
49606872084th iteration: 983481237 603895077 21545808 870545448
49821620448th iteration: 428860133 2392200605 795294728 2410869044
50036368812th iteration: 2844947021 2829598493 463323116 997304240
50251117176th iteration: 6650734565 6541663661 2449092176 985455128
50465865540th iteration: 189335669 3483696629 3738735236 2013578276
50680613904th iteration: 3888050357 3853031933 8 5160325472
50895362268th iteration: 2594040989 4028304413 55574420 3583735688
51110110632th iteration: 3782859045 4215879621 2716547688 58693716
51324858996th iteration: 3363715677 1667063613 232854912 3146419128
51539607360th iteration: 1781529701 145585661 2971349900 3238101008
51754355724th iteration: 308565269 3587962277 1672146080 3432994904
51969104088th iteration: 1505013 3530703645 4007801736 4956574176
52183852452th iteration: 3428528157 4312309581 2652 4873086720
52398600816th iteration: 5986983965 27936821 5583789596 4116488288
52613349180th iteration: 7715285 4977691949 5480888624 3828027512
52828097544th iteration: 1372697949 1022829525 264288 1434180828
53042845908th iteration: 1156982285 1820500493 1580706884 28320728
53257594272th iteration: 1624208525 2321854013 53523908 2622849464
53472342636th iteration: 3481932533 4811664125 68280584 5365988948
53687091000th iteration: 3098565 4095306837 3375827916 4812326172
53901839364th iteration: 640820717 626058893 58690772 295285448
54116587728th iteration: 4334918325 4772233413 201951936 2650762296
54331336092th iteration: 4647298421 18378485 4358164016 3214578248
54546084456th iteration: 13337525 3825964373 3123711776 2649067196
54760832820th iteration: 3936227645 4793541581 41695412 5845148852
54975581184th iteration: 1028742053 11899709 819356948 1239999080
55190329548th iteration: 3158784509 2928139037 1726277504 148861880
55405077912th iteration: 195313901 1004998949 311811164 1000903676
55619826276th iteration: 806059229 6814661597 2908062644 6961869800
55834574640th iteration: 6354724581 900101133 6441723360 2458107996
56049323004th iteration: 250028381 4069441229 3812665952 2090032088
56264071368th iteration: 26354469 3568429365 5212597884 4825100652
56478819732th iteration: 6428094509 159275165 5613180212 3876654344
56693568096th iteration: 3252823373 2289371861 2957757164 983852
56908316460th iteration: 5713209461 6148002629 3158101304 372743396
57123064824th iteration: 208172237 2333969621 2458162520 1147287632
57337813188th iteration: 895766901 6476282325 2501485092 6445037592
57552561552th iteration: 3668015589 104079621 4205612976 2536340424
57767309916th iteration: 4039596837 4341756837 2329890456 222670560
57982058280th iteration: 39989717 1874383469 2608147964 2906013980
58196806644th iteration: 467254629 1031291277 2887887888 2922709356
58411555008th iteration: 701367605 403294037 744093104 37448684
58626303372th iteration: 2731284341 3849295541 3037270640 7799048
58841051736th iteration: 4685601509 4980002909 834380 6425933072
59055800100th iteration: 7684855517 1357188773 7749710528 2582910812
59270548464th iteration: 3280785221 295678613 3436992320 1599526076
59485296828th iteration: 4868068589 509246165 2228304572 5070385244
59700045192th iteration: 5290384877 2863970285 5681306276 369143672
59914793556th iteration: 73618317 2300434917 3702263940 3286191636
60129541920th iteration: 421089749 5319292997 5022966548 2535236756
60344290284th iteration: 5753186637 46780101 3841007292 4761264960
60559038648th iteration: 729003237 20159925 1000569084 1160098284
60773787012th iteration: 3465459501 1301017701 3522175728 519348300
60988535376th iteration: 2342050541 1615637 3339685952 2890018280
61203283740th iteration: 2492272221 4569039789 295469832 4824342708
61418032104th iteration: 924099405 2038116093 2116121664 216726648
