Running seek with root {-2,3,6,7,} and ceiling 1000000000
Time: Sun Apr 19 14:39:47 2015

In seek
Running fuchsian
14400000000th iteration: 2065125010 50064283 2341708474 1441319023
14500000000th iteration: 358802586 920925027 900445590 122399607
14600000000th iteration: 590596842 815772459 2800588614 2794650015
14700000000th iteration: 2976922378 1029876235 492139654 2947669543
14800000000th iteration: 1146221110 787 1412661862 1628923351
14900000000th iteration: 2100654726 1797840843 2536934346 15
15000000000th iteration: 81852730 819563107 1501302706 1489140247
15100000000th iteration: 1015869034 10834219 1255900306 1512289831
15200000000th iteration: 583727874 2610105099 723834042 2607596055
15300000000th iteration: 41104918 1819628635 1272932518 2050588639
15400000000th iteration: 2469364534 180935899 2642475130 1313434567
15500000000th iteration: 256941706 257883523 90376774 42109447
15600000000th iteration: 1496774014 2141486299 1965490 1863051967
15700000000th iteration: 3821758 1158968803 1092531982 806231887
15800000000th iteration: 68707498 574369363 1056850354 1112832895
15900000000th iteration: 2861037346 80664403 1696739722 2527612279
16000000000th iteration: 1525279294 2162658451 1831803934 28711
16100000000th iteration: 584500746 308115 813414726 796688343
16200000000th iteration: 2886867274 288830059 1345212646 3005360311
16300000000th iteration: 146426034 1559245443 747436458 1630317855
16400000000th iteration: 1276492842 1276217139 337668354 300949335
16500000000th iteration: 5098 265682491 248556550 341416231
16600000000th iteration: 1239730098 2830496811 2728811610 288264111
16700000000th iteration: 2111109426 1571393715 11049342 2295251727
16800000000th iteration: 1207976334 1089513411 84258 1516536447
16900000000th iteration: 690131154 3 979734090 882056463
17000000000th iteration: 2443685998 2391976747 299778178 992735047
17100000000th iteration: 2693765922 2851742931 179307150 1460623887
17200000000th iteration: 1927477582 2436587731 142 2738926855
17300000000th iteration: 338834494 2590867 284577358 226526431
17400000000th iteration: 2367393310 1958408587 3056722 1661249671
17500000000th iteration: 1682801038 1562661451 856239010 105432271
17600000000th iteration: 271679782 99614563 268699882 40836103
17700000000th iteration: 1050852562 179810515 355956874 1042627519
17800000000th iteration: 886561774 2006359507 1931666050 199669039
17900000000th iteration: 2646707310 2329547547 55854846 1631111607
18000000000th iteration: 142638 2448308547 2015813922 1736939823
18100000000th iteration: 1545982066 84441883 867781246 1600391575
18200000000th iteration: 504689446 3696667 685112470 736048927
18300000000th iteration: 1661077866 4060347 2178797862 2379910935
18400000000th iteration: 535830618 1260447243 1284327894 149643255
18500000000th iteration: 460375822 19014619 669632194 763436335
18600000000th iteration: 30411838 25505251 348766 19825975
18700000000th iteration: 434796346 931754707 2654683414 2656209583
18800000000th iteration: 10261366 353644339 501352666 563518039
18900000000th iteration: 534713370 1656170859 304375062 1646481279
19000000000th iteration: 276471690 18898539 297304434 150740007
19100000000th iteration: 502797058 1355628499 1371122158 205963375
19200000000th iteration: 294138 650485755 913199826 738135711
19300000000th iteration: 1422528886 132548899 671167162 1452243703
19400000000th iteration: 452321818 1371315715 1363814806 244636591
19500000000th iteration: 799558 1120110091 1240961674 870515527
19600000000th iteration: 544593090 226272891 540269358 65027991
19700000000th iteration: 101704614 847675923 873964278 362009175
19800000000th iteration: 2341937850 1697053059 2645204514 37849407
19900000000th iteration: 1855149090 2499019827 6591534 2653806879
20000000000th iteration: 2485189626 2590815483 256517826 1144761495
20100000000th iteration: 1397282638 784128811 78189982 1457628919
20200000000th iteration: 291750 1110727131 944257578 1336065111
20300000000th iteration: 32775790 1057031923 1505358466 1695758551
20400000000th iteration: 714794734 499179427 2409063010 2414671759
20500000000th iteration: 50999158 2976615835 2649230074 1879749223
20600000000th iteration: 2230771354 1820563267 8763970 1539578239
20700000000th iteration: 1051242478 138648235 2093454286 1957226431
20800000000th iteration: 1292738590 507723163 1320407134 180149023
20900000000th iteration: 1967280138 1257839355 1668600486 28434951
21000000000th iteration: 1959677082 2791599051 5141142 2629275615
