nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015

In seek
Running fuchsian
28200000000th iteration: 402759136 3287080 594132433 501956521
28300000000th iteration: 9882072 183310704 196641153 106118121
28400000000th iteration: 2351618008 5908 2697866545 1898003329
28500000000th iteration: 1221974976 1686971208 26909265 1902436521
28600000000th iteration: 3143154472 3162363844 1032492865 571994449
28700000000th iteration: 40873744 1644056008 2295388873 2584337785
28800000000th iteration: 507820744 732864388 1656985 626670793
28900000000th iteration: 1768048836 2528066100 2200546497 2099577
29000000000th iteration: 2685890200 1234662832 2643812641 250616137
29100000000th iteration: 11244 159405132 120981513 170738961
29200000000th iteration: 2854122376 1500099556 2735517913 167601625
29300000000th iteration: 2587220572 1900635856 1981644649 575473
29400000000th iteration: 1038613468 1073611036 61006801 571895065
29500000000th iteration: 1242734536 431661904 3209048017 3139288993
29600000000th iteration: 60457972 1099678840 596494201 1082780377
29700000000th iteration: 70139908 2613199720 2291347921 1559153881
29800000000th iteration: 729238684 340281808 2076223297 2080282561
29900000000th iteration: 79516 126402652 88523545 110392177
30000000000th iteration: 164188588 105263644 183982753 6521905
30100000000th iteration: 2948534904 2069041872 2356720521 7912353
30200000000th iteration: 933201628 2244688 648046369 852290425
30300000000th iteration: 3198065236 3225758296 447415033 1240518265
30400000000th iteration: 1661248492 722272 1361887753 1938963553
30500000000th iteration: 1187185560 2114520948 2205524481 118048641
30600000000th iteration: 1519737960 580341636 1500125553 212245281
30700000000th iteration: 616694248 925648624 3062697673 3054595945
30800000000th iteration: 1671583672 2525400436 2093729617 23625985
30900000000th iteration: 2004416568 1865868768 2568344529 119025
31000000000th iteration: 977884228 685023496 886639897 911329
31100000000th iteration: 1703578432 5098636 1556640697 1178563825
31200000000th iteration: 194880072 343759620 20983641 373081377
31300000000th iteration: 2112277612 843978688 285806041 2161039009
31400000000th iteration: 1033833288 523196880 975081873 67605969
31500000000th iteration: 1223034444 1245339900 169149537 481079649
31600000000th iteration: 1254463840 2747461096 258846673 2691792121
31700000000th iteration: 538444288 780717976 632935681 3333025
31800000000th iteration: 1631511288 1312496916 2065209 1880111337
31900000000th iteration: 1416659868 745493340 105947793 1508144409
32000000000th iteration: 791955156 41429496 460832673 847632705
32100000000th iteration: 715101444 1075669224 3544867617 3557089545
32200000000th iteration: 2047332916 17427844 1867670593 1367238697
32300000000th iteration: 1586035276 2268908896 2608205233 60530065
32400000000th iteration: 12747868 859808620 548486161 728781121
32500000000th iteration: 255752872 4 180203353 218331121
32600000000th iteration: 142253068 2022880876 1000037281 1901873545
32700000000th iteration: 1612072296 2305060272 4369953 1897108929
32800000000th iteration: 1250627116 980465500 906489193 361
32900000000th iteration: 2003481804 912829344 210380601 2079063561
33000000000th iteration: 1811552128 2546931148 4852369 2004035545
33100000000th iteration: 456048516 1119621684 136480641 1095169449
33200000000th iteration: 1124530008 1934281716 2110179825 108794481
33300000000th iteration: 103652020 449511748 1024013401 986672161
33400000000th iteration: 1752462496 2297219404 36807169 2724325921
33500000000th iteration: 1050786312 205716900 2294727681 2187136497
