Running seek with root {0,0,1,1,} and ceiling 10000000
Time: Sat Apr 18 16:30:45 2015

In seek
Running fuchsian
188000000th iteration: 11204620 7568416 68497 9427177
189000000th iteration: 11618212 1922344 11491585 4013689
190000000th iteration: 1301884 23961676 25060081 13569649
191000000th iteration: 13365552 43932 16529433 19293753
192000000th iteration: 3328824 20079120 7034529 20234697
193000000th iteration: 5450272 8104 6588169 4625185
194000000th iteration: 25270624 10541224 25719505 3115177
195000000th iteration: 10063996 35300620 35309113 7656841
196000000th iteration: 111160 23695444 21764833 16230553
197000000th iteration: 11739676 17450284 564049 19836001
198000000th iteration: 23104 6055276 4853209 4206601
199000000th iteration: 812164 8410120 15777313 14457793
200000000th iteration: 28228 26976328 18920689 24762865
201000000th iteration: 68056 9038164 11094937 7536793
202000000th iteration: 16813572 17238324 12352881 9273
203000000th iteration: 21535896 232500 17074113 25764321
204000000th iteration: 78324 20895828 14387433 19110105
205000000th iteration: 3218644 13756024 13760737 3666625
206000000th iteration: 26142076 7551292 26162785 5586457
207000000th iteration: 87784 5464900 3474529 4880017
208000000th iteration: 7263172 17341960 2093689 17514409
209000000th iteration: 20695888 20346556 8625529 2422777
210000000th iteration: 22324648 10093936 23184577 2390689
211000000th iteration: 1565476 3757396 3706513 442345
212000000th iteration: 22838896 2280220 10648897 23769577
213000000th iteration: 2715904 17262316 6145441 17032129
214000000th iteration: 20846296 29408404 24200761 5329
215000000th iteration: 14174068 28803160 30279361 2550241
216000000th iteration: 2340612 10264104 10257465 2798289
217000000th iteration: 7914372 14480328 660153 13146177
218000000th iteration: 2671612 1459120 8101897 8118481
219000000th iteration: 1667080 25339984 23854249 12789817
220000000th iteration: 3775704 2680980 72249 4242897
221000000th iteration: 3427404 23516352 23948889 8986425
222000000th iteration: 2469552 578328 5652369 5444601
223000000th iteration: 16040860 28 21773953 16664569
224000000th iteration: 4310068 6017428 1705 5838409
225000000th iteration: 8235708 5962620 129009 9267753
226000000th iteration: 21769588 22133524 2070721 10158817
227000000th iteration: 18256564 4277752 18250873 4856761
228000000th iteration: 22283464 13382608 19475857 569521
229000000th iteration: 23767608 24866580 30921 17604561
230000000th iteration: 18595456 17193160 93337 12729457
231000000th iteration: 22177768 15907780 1 17744521
232000000th iteration: 33614628 4083816 13706625 32852001
233000000th iteration: 7285924 19128520 18860737 2679889
234000000th iteration: 13525432 1349428 24321937 24984673
235000000th iteration: 2120916 13909284 5087961 13866849
236000000th iteration: 11425024 9703660 69769 14129977
237000000th iteration: 9488376 84 10014561 7127289
238000000th iteration: 14136904 9258916 15920857 510673
239000000th iteration: 5015304 28962756 9724089 28707561
240000000th iteration: 1552264 26108368 24959737 13659481
241000000th iteration: 267352 10791412 12422713 7625353
242000000th iteration: 21809784 19472628 4281 27207057
243000000th iteration: 1228944 14696604 13992201 6900561
244000000th iteration: 29453376 26083308 18089481 644505
245000000th iteration: 455268 14250324 16130433 9564585
246000000th iteration: 119716 2636884 2393209 1442401
247000000th iteration: 14536492 12923584 1 10229473
248000000th iteration: 16033200 23854236 21828417 180657
249000000th iteration: 3409620 1580856 315441 3383313
250000000th iteration: 6894436 7191112 643753 3305449
251000000th iteration: 28162792 17903584 25148425 452929
252000000th iteration: 64 17220760 24185977 19714969
253000000th iteration: 25709596 25401820 11859001 2392753
254000000th iteration: 3065100 21293052 21645369 8181609
255000000th iteration: 31434928 9926440 6014713 31518409
256000000th iteration: 950416 286972 191497 947425
257000000th iteration: 18933076 18762340 1 13709353
258000000th iteration: 957756 1374588 1252377 2529
259000000th iteration: 6833044 4543540 232633 7738873
260000000th iteration: 16 21834940 27262753 19546321
261000000th iteration: 19065700 26984968 22234489 14833
262000000th iteration: 29319024 24262716 19451049 265521
263000000th iteration: 3039832 4109632 4345873 11233
264000000th iteration: 334300 13706608 18322153 21575329
265000000th iteration: 689040 1640412 4455801 4523457
266000000th iteration: 438184 14320900 16268857 9707929
267000000th iteration: 22473876 14483748 309417 20076609
268000000th iteration: 8104432 10274344 20689 7292065
269000000th iteration: 25930660 1052692 29010409 16533409
270000000th iteration: 29284804 2649160 28540993 13537633
271000000th iteration: 16920436 15007288 1 11905705
272000000th iteration: 3230620 25649392 10674121 26369377
273000000th iteration: 567436 20928544 12487729 18518281
274000000th iteration: 248740 5636968 9414361 8317801
275000000th iteration: 17247136 15991144 8874121 1035889
276000000th iteration: 27116764 14906224 1774465 29018377
277000000th iteration: 29820196 11618728 4131241 30044305
278000000th iteration: 6697684 15441316 15954409 1798801
279000000th iteration: 12769176 12716544 2424801 4031169
280000000th iteration: 12022156 1342720 11630713 5067481
281000000th iteration: 10338844 9965296 583849 5505601
282000000th iteration: 11497864 19421200 21230689 1019377
283000000th iteration: 32385336 32665056 10915089 5697729
284000000th iteration: 25536784 3666184 9826897 25959265
285000000th iteration: 29782648 1727056 30992785 16534681
286000000th iteration: 498108 2680956 5500017 5772969
287000000th iteration: 31283856 28807164 16382961 1740729
288000000th iteration: 5134756 10749028 10144225 844561
289000000th iteration: 7666164 35583576 10208913 35613897
290000000th iteration: 19485564 15024 15161241 14087361
291000000th iteration: 9690160 11204284 6888457 237169
292000000th iteration: 24700192 43624 20358169 17285185
293000000th iteration: 21170436 21398772 3508257 7437945
294000000th iteration: 19305052 10924 13529929 16711465
295000000th iteration: 10552072 25321936 3137545 25820137
296000000th iteration: 2327728 2327452 559201 604969
297000000th iteration: 25978192 8799196 4472305 25902697
298000000th iteration: 23481096 14650560 435201 20135913
299000000th iteration: 28362160 20675416 22030393 1
300000000th iteration: 1208556 21881088 12197241 22518345
301000000th iteration: 25250224 28 17921713 23689945
302000000th iteration: 2427840 12168 2251641 1663281
303000000th iteration: 10164708 15608340 580833 17566329
304000000th iteration: 78844 6316240 4983697 7585849
305000000th iteration: 26387064 19005492 9 25838505
306000000th iteration: 18198100 19982884 41737 25481809
307000000th iteration: 33041080 8809012 33050689 7728649
308000000th iteration: 15817080 28978068 1332969 26361273
309000000th iteration: 3122572 26665660 27383809 11480689
310000000th iteration: 7726900 148 10958329 9955513
311000000th iteration: 1388856 19663248 18485241 9707025
312000000th iteration: 23297104 9666232 23806945 2922649
313000000th iteration: 8770024 17460580 1168849 16446577
314000000th iteration: 6852868 6002920 8511841 14641
315000000th iteration: 14510964 15838788 123297 10634601
316000000th iteration: 1500 7181868 9147513 10210809
317000000th iteration: 4326400 21006892 6235009 20948929
318000000th iteration: 30412 12089728 15780577 17345353
319000000th iteration: 7543944 14144400 737793 13093473
320000000th iteration: 18458680 22765108 26232841 1
321000000th iteration: 204 14570604 20248305 19786857
322000000th iteration: 114244 6575272 7726393 4929841
323000000th iteration: 15588016 13667176 47089 19454209
324000000th iteration: 25497616 14911996 22548169 786529
325000000th iteration: 4633696 3201208 17857 3775489
326000000th iteration: 33754188 13738044 33036153 4124505
327000000th iteration: 26463436 24618496 18141313 133225
328000000th iteration: 4422720 4456152 1624977 679041
329000000th iteration: 15003664 16289464 20870041 24721
330000000th iteration: 28094104 15199936 1548601 27570169
331000000th iteration: 2208336 634524 2211441 475209
332000000th iteration: 35059368 34896096 11842209 6047577
333000000th iteration: 400 3819832 4207441 5306137
334000000th iteration: 6340324 14174692 1357225 13564489
335000000th iteration: 9588624 259656 8485209 5722521
336000000th iteration: 13543936 11994988 296305 8318641
337000000th iteration: 130972 23074156 28584649 19693273
338000000th iteration: 27369748 13551844 28789921 2385337
339000000th iteration: 15261244 11196688 17651065 279313
340000000th iteration: 4628212 5771320 2209 6594889
341000000th iteration: 10002460 14041168 11342401 4801
342000000th iteration: 17258164 27657604 30746545 1218457
343000000th iteration: 724 14375512 10122385 12302209
344000000th iteration: 22047004 56176 18906001 15242329
345000000th iteration: 23741752 21736756 1220185 12656497
346000000th iteration: 13092616 1307968 6102169 13623697
347000000th iteration: 11739768 23436432 21855777 1559193
348000000th iteration: 32912968 11533348 5363569 32736505
349000000th iteration: 11811868 5465680 1180129 12182233
350000000th iteration: 29559888 653688 26165169 18129945
351000000th iteration: 2345052 2194524 1618209 9945
352000000th iteration: 6052 20284756 18149377 25354105
353000000th iteration: 416164 2059348 2052961 620377
354000000th iteration: 2335588 11800276 25847065 24636241
355000000th iteration: 633964 24270016 17007841 27893089
356000000th iteration: 9597388 809152 9124681 4489729
357000000th iteration: 225484 9600508 15063073 12768625
358000000th iteration: 17182648 15075808 462097 10250017
359000000th iteration: 3774528 368664 6553113 7073385
360000000th iteration: 249328 4791256 2593081 4580305
361000000th iteration: 26847972 20001768 28056777 6513
362000000th iteration: 6983328 9899724 33 9015105
363000000th iteration: 2626924 64 3089785 2177857
364000000th iteration: 17925244 8046448 1951921 18614737
365000000th iteration: 4267144 7727248 439393 7927825
366000000th iteration: 509212 9035632 8685985 4807561
367000000th iteration: 6067360 10061068 11080009 500953
368000000th iteration: 473176 18132916 20819449 12696169
369000000th iteration: 14364456 11709636 80073 9796065
370000000th iteration: 21336520 8704708 21877609 2783473
371000000th iteration: 10086544 76060 8320009 6765457
372000000th iteration: 11007984 2077656 23713041 22807929
373000000th iteration: 20832192 24459912 29654841 36945
374000000th iteration: 24 1930164 1361961 1630041
375000000th iteration: 19893720 13390932 18184569 145209
376000000th iteration: 13414852 13669960 5147401 1942777
377000000th iteration: 19648764 432 24867633 17943921
378000000th iteration: 17150664 405120 10405113 14920113
379000000th iteration: 1024848 11105244 11551953 5336145
380000000th iteration: 22076752 17271352 24545233 3433
381000000th iteration: 166036 8413348 11667025 12963961
382000000th iteration: 23545492 25200184 1715425 12547129
383000000th iteration: 2494948 19698760 8159881 20206081
384000000th iteration: 14483368 439684 16404865 9801073
385000000th iteration: 14779788 39036 18737769 13291257
386000000th iteration: 11273548 4584640 30685033 30286369
387000000th iteration: 424 4502752 6116833 4682041
388000000th iteration: 33152680 33509536 11732497 5431897
389000000th iteration: 2396404 478744 5133817 5167105
390000000th iteration: 2358400 847852 6121969 6076849
391000000th iteration: 18540252 14896044 21188745 1929
392000000th iteration: 20701884 25265328 75513 17542785
393000000th iteration: 3122688 3382152 1846497 159033
394000000th iteration: 595452 1601100 1626849 243729
CURVELIST num_items: 2499786
Time: Sat Apr 18 16:32:48 2015

Running genealogy
Time: Sat Apr 18 16:32:48 2015

Running valuesOf
Time: Sat Apr 18 16:32:48 2015

Running path
Time: Sat Apr 18 16:32:49 2015

Running compare

 Length=215 [48, 120, 132, 208, 241, 252, 300, 328, 340, 360, 468, 528, 552, 636, 712, 720, 748, 780, 888, 912, 1080, 1140, 1168, 1176, 1272, 1392, 1476, 1560, 1572, 1704, 1848, 1968, 1980, 2100, 2148, 2184, 2208, 2488, 2628, 2736, 2820, 2868, 2880, 2980, 3012, 3240, 3400, 3408, 3492, 3552, 3828, 3900, 4080, 4212, 4392, 4464, 4584, 4680, 4692, 4896, 5028, 5040, 5088, 5148, 5200, 5340, 5452, 5760, 5796, 6192, 6516, 6684, 6888, 6900, 7272, 7380, 7908, 8280, 8772, 8880, 9792, 10020, 10212, 10260, 10380, 10548, 10680, 10920, 10944, 11268, 11380, 11760, 11868, 11928, 12876, 13152, 13572, 13600, 14100, 14160, 14244, 14328, 14724, 14916, 15088, 15300, 15588, 16008, 16617, 17160, 17232, 17520, 18000, 19260, 19320, 19620, 20712, 20940, 21732, 21825, 22908, 23160, 23652, 24252, 24804, 25140, 25812, 25896, 26100, 26124, 26472, 26760, 27552, 27600, 27660, 27768, 28860, 29424, 29532, 29688, 30288, 30540, 31092, 31440, 31932, 34440, 34488, 35232, 36408, 36564, 36648, 36816, 37908, 37968, 38772, 38928, 39168, 39780, 41460, 41964, 43056, 43392, 44988, 45240, 45652, 46056, 46980, 50448, 52260, 52788, 52800, 58728, 59400, 61596, 66120, 67308, 69324, 69420, 74976, 75900, 76908, 79740, 80280, 82200, 87192, 88140, 93216, 96912, 96960, 101940, 107016, 108240, 116896, 117480, 120300, 121680, 133392, 135252, 137280, 138360, 165360, 185580, 188748, 201480, 220308, 228780, 234660, 354540, 399000, 422820, 424560, 472548, 496080, 926820, 1199820]
Time: Sat Apr 18 16:32:49 2015

